Ticker,Weight,Model
PETR3.SA,0.0032274374032709554,Markowitz + Regressao Linear
WEGE3.SA,0.0,Markowitz + Regressao Linear
TOTS3.SA,0.0049546639589119704,Markowitz + Regressao Linear
VALE3.SA,0.0,Markowitz + Regressao Linear
EMBR3.SA,0.0,Markowitz + Regressao Linear
VIVT3.SA,0.19357980063449914,Markowitz + Regressao Linear
CSNA3.SA,2.691802943738386e-16,Markowitz + Regressao Linear
RADL3.SA,0.06409585728118439,Markowitz + Regressao Linear
PCAR3.SA,0.0,Markowitz + Regressao Linear
PINE4.SA,0.7341422407221339,Markowitz + Regressao Linear
